question_id,condition,category,answerability,expected_behavior,manual_review_required,factual_correctness_evaluable,answer_relevance,biomedical_factual_correctness,completeness,uncertainty_abstention,context_groundedness,context_utilization
Q001,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,4.0,1.0,2.0,2.0,,
Q001,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,3.0,4.0,2.0,3.0,4.0
Q001,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,5.0,2.0,3.0,4.0,,
Q001,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,4.0,5.0,4.0,4.0,5.0
Q002,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,3.0,1.0,2.0,,
Q002,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q002,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,3.0,1.0,2.0,,
Q002,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q003,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,1.0,2.0,2.0,,
Q003,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,4.0,3.0,3.0,2.0,3.0,3.0
Q003,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,3.0,3.0,4.0,,
Q003,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,4.0,5.0
Q004,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,4.0,2.0,5.0,,
Q004,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,4.0,5.0,5.0,5.0
Q004,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,4.0,2.0,5.0,,
Q004,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,4.0,5.0
Q005,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,1.0,1.0,1.0,,
Q005,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q005,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,4.0,4.0,3.0,5.0,,
Q005,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q006,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,1.0,1.0,1.0,,
Q006,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,4.0,4.0,3.0,4.0,4.0
Q006,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,4.0,1.0,2.0,,
Q006,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,4.0,4.0,5.0
Q007,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,4.0,2.0,5.0,,
Q007,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,3.0,4.0,3.0,5.0,5.0,5.0
Q007,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,,
Q007,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,3.0,4.0,3.0,5.0,5.0,5.0
Q008,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,1.0,2.0,2.0,,
Q008,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,4.0,5.0,5.0,5.0
Q008,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,4.0,4.0,3.0,5.0,,
Q008,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q009,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,1.0,2.0,2.0,,
Q009,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,4.0,5.0,5.0,5.0
Q009,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,4.0,2.0,5.0,,
Q009,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,4.0,5.0,5.0,5.0
Q010,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,3.0,1.0,2.0,1.0,,
Q010,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q010,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,4.0,3.0,3.0,3.0,,
Q010,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,4.0,4.0,5.0,4.0,4.0
Q011,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,3.0,2.0,4.0,,
Q011,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q011,gpt_5_4_mini_baseline,variant_interpretation,graph_direct,answer,False,True,4.0,1.0,2.0,2.0,,
Q011,gpt_5_4_mini_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,5.0,5.0,5.0,5.0
Q012,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,True,2.0,4.0,2.0,5.0,,
Q012,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,True,5.0,5.0,4.0,5.0,5.0,5.0
