question_id,randomized_orientation,hidden_system_mapping,judge_model,raw_first_orientation_judgment,raw_reversed_orientation_judgment,decoded_first_orientation_winner,decoded_reversed_orientation_winner,final_reconciled_outcome,position_instability_flag,evaluation_run_id,evaluation_timestamp,prompt_version,rubric_version,context_hash
Q001,"{""original_A"": ""qwen3_8b_igkf"", ""original_B"": ""gpt_5_4_mini_igkf""}","{""original"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}, ""reversed"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}}",gpt-5.5,B,A,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.308506+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,8220197154522906dc58555aa7a9725fdec0dabefa50e2d5d7aba810f144ffa5
Q002,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,A,B,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.308623+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,bddae3ee4534c5defc62493a82872a39fc50d4bc81c801459b102d02b016074a
Q003,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,A,B,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.308733+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,9abd483f768c42239311f4b4682cbafbb8cf46b8c7c34b9a196118a347dc55c6
Q004,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,A,B,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.308832+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,8f81f99f250fe2bff2ee9ebe124965df8ec1e013561a60f47e53a6c41ea47a83
Q005,"{""original_A"": ""qwen3_8b_igkf"", ""original_B"": ""gpt_5_4_mini_igkf""}","{""original"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}, ""reversed"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}}",gpt-5.5,B,A,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.308930+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,ea2a48135b0d21fdadf1202347b4b89029fd3eeb3a93f94835b7cc6c7b621ad5
Q006,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,A,B,MINI,MINI,MINI_WIN,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.309031+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,2458748941abab1d90b4411a552ceaf86c01b1d81d74ada13816d749034da1d9
Q007,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,A,TIE,MINI,TIE,TIE,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.309125+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,2e541e15d3612d6faff341c7a5475c458af31c581075befbbfb0eb1566b24632
Q008,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,TIE,B,TIE,MINI,TIE,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.309218+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,0b4140cc91f191b5e3f3be53ac079b0ce7a60882a26fbce44bc3823eb41947f8
Q009,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,TIE,B,TIE,MINI,TIE,False,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.309311+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,9e7ac53c1a4c96e2f99bd79911bce4f5c41dae2047b5a0bfe9cf2f432b47f991
Q010,"{""original_A"": ""gpt_5_4_mini_igkf"", ""original_B"": ""qwen3_8b_igkf""}","{""original"": {""A"": ""gpt_5_4_mini_igkf"", ""B"": ""qwen3_8b_igkf""}, ""reversed"": {""A"": ""qwen3_8b_igkf"", ""B"": ""gpt_5_4_mini_igkf""}}",gpt-5.5,B,B,QWEN,MINI,POSITION_UNSTABLE,True,final_pairwise_graphrag_qwen_vs_mini,2026-07-07T21:34:54.309404+00:00,pairwise_prompt_v1,pairwise_biomedical_rubric_v1,6cf9d529c66fd70254271cf41c86fda38fa59c85828e61357ca4d68848131009
