category,condition,N,median_answer_relevance,iqr_answer_relevance,mean_answer_relevance,sd_answer_relevance,median_biomedical_factual_correctness,iqr_biomedical_factual_correctness,mean_biomedical_factual_correctness,sd_biomedical_factual_correctness,median_completeness,iqr_completeness,mean_completeness,sd_completeness,median_uncertainty_abstention,iqr_uncertainty_abstention,mean_uncertainty_abstention,sd_uncertainty_abstention
gene_interpretation,gpt_5_4_mini_baseline,56,5.0,2.0,3.982142857142857,1.1983484305655685,3.0,2.0,2.9642857142857144,1.2055068449605555,2.0,2.0,2.6785714285714284,1.2664501979533598,3.0,3.0,3.125,1.5262848536709832
gene_interpretation,gpt_5_4_mini_igkf,56,5.0,0.0,4.982142857142857,0.1336306209562122,5.0,0.0,4.946428571428571,0.227207782928703,5.0,0.0,4.839285714285714,0.4167748777233325,5.0,0.0,4.982142857142857,0.1336306209562122
gene_interpretation,qwen3_8b_baseline,56,4.0,2.0,3.857142857142857,1.21248912165424,2.0,2.0,2.6785714285714284,1.1771636613972951,2.0,1.0,2.5892857142857144,0.9100806300799688,3.0,2.0,2.9107142857142856,1.4681687506957366
gene_interpretation,qwen3_8b_igkf,56,5.0,1.0,4.5,0.7627700713964738,5.0,1.25,4.125,1.1129404133359355,4.0,2.0,3.8392857142857135,1.1082629440916778,5.0,1.0,4.178571428571429,1.1771636613972951
general_biomedical_control,gpt_5_4_mini_baseline,25,5.0,2.0,4.08,1.0770329614269007,4.0,1.0,4.24,0.8306623862918076,4.0,2.0,3.84,1.1789826122551594,5.0,1.0,4.64,0.6377042156569663
general_biomedical_control,gpt_5_4_mini_igkf,25,5.0,0.0,4.92,0.2768874620972691,5.0,1.0,4.64,0.6377042156569663,5.0,0.0,4.8,0.408248290463863,5.0,0.0,4.76,0.5228129047119374
general_biomedical_control,qwen3_8b_baseline,25,5.0,1.0,4.4,0.9128709291752768,5.0,1.0,4.36,0.9073771725877466,4.0,2.0,4.04,1.05987420637231,5.0,1.0,4.48,0.8225975119502045
general_biomedical_control,qwen3_8b_igkf,25,5.0,0.0,4.72,0.8906926143924925,4.0,1.0,4.36,0.7571877794400365,5.0,1.0,4.36,0.9073771725877466,5.0,1.0,4.52,0.7702813338860894
literature_synthesis,gpt_5_4_mini_baseline,6,4.0,0.0,3.8333333333333335,0.983192080250175,2.5,1.75,2.833333333333333,1.4719601443879746,3.0,0.75,2.6666666666666665,1.0327955589886446,3.0,1.5,3.5,1.224744871391589
literature_synthesis,gpt_5_4_mini_igkf,6,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0
