answerability,condition,N,median_answer_relevance,iqr_answer_relevance,mean_answer_relevance,sd_answer_relevance,median_biomedical_factual_correctness,iqr_biomedical_factual_correctness,mean_biomedical_factual_correctness,sd_biomedical_factual_correctness,median_completeness,iqr_completeness,mean_completeness,sd_completeness,median_uncertainty_abstention,iqr_uncertainty_abstention,mean_uncertainty_abstention,sd_uncertainty_abstention
general_biomedical,gpt_5_4_mini_baseline,4,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0
general_biomedical,gpt_5_4_mini_igkf,4,5.0,0.0,5.0,0.0,4.5,1.0,4.5,0.5773502691896257,4.0,0.25,4.25,0.5,4.0,0.5,4.0,0.816496580927726
general_biomedical,qwen3_8b_baseline,4,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.25,4.75,0.5
general_biomedical,qwen3_8b_igkf,4,4.5,1.75,3.75,1.8929694486000912,4.0,0.25,3.75,0.5,4.0,0.75,3.25,1.5,3.0,0.5,3.5,1.0
graph_direct,gpt_5_4_mini_baseline,53,3.0,2.0,3.339622641509434,1.1593001241865897,3.0,2.0,2.981132075471698,1.2479300713540964,2.0,2.0,2.0943396226415096,0.9857474895770962,4.0,3.0,3.30188679245283,1.5010881394249327
graph_direct,gpt_5_4_mini_igkf,53,5.0,0.0,4.962264150943396,0.27472112789737796,5.0,0.0,4.849056603773585,0.4112002326723348,5.0,0.0,4.849056603773585,0.4112002326723348,5.0,0.0,4.867924528301887,0.48189273659093484
graph_direct,qwen3_8b_baseline,53,3.0,1.0,2.792452830188679,0.7167901357397151,1.0,3.0,2.0943396226415096,1.4710560171234945,2.0,1.0,1.7924528301886793,0.5999516187557171,2.0,3.0,2.5283018867924527,1.6124965543780203
graph_direct,qwen3_8b_igkf,53,5.0,0.0,4.735849056603773,0.6248366985499988,5.0,1.0,4.471698113207547,0.9115450447730039,4.0,1.0,4.188679245283019,0.8999274281335756,5.0,1.0,4.471698113207547,1.011544393962969
graph_direct_or_integrated,gpt_5_4_mini_baseline,6,4.0,0.75,3.6666666666666665,1.0327955589886446,3.5,1.0,3.5,1.0488088481701516,3.0,0.75,2.6666666666666665,1.0327955589886446,4.0,2.0,3.8333333333333335,1.3291601358251257
graph_direct_or_integrated,gpt_5_4_mini_igkf,6,5.0,0.0,4.833333333333333,0.408248290463863,5.0,0.0,4.5,1.224744871391589,5.0,0.0,4.5,1.224744871391589,5.0,0.0,4.666666666666667,0.816496580927726
graph_direct_or_integrated,qwen3_8b_baseline,6,4.0,2.75,3.6666666666666665,1.505545305418162,1.0,1.5,1.8333333333333333,1.3291601358251257,2.0,0.75,2.0,1.0954451150103321,2.0,1.5,2.1666666666666665,1.1690451944500122
graph_direct_or_integrated,qwen3_8b_igkf,6,4.5,1.0,4.333333333333333,0.816496580927726,3.0,1.5,3.3333333333333335,1.505545305418162,3.0,1.5,3.5,1.224744871391589,3.5,1.75,3.6666666666666665,1.2110601416389966
graph_plus_literature,gpt_5_4_mini_baseline,115,4.0,2.0,4.052173913043478,1.1458810925488168,3.0,2.0,3.0521739130434784,1.220033636729782,3.0,2.0,2.878260869565217,1.1857918080556422,3.0,2.0,3.026086956521739,1.4657545183835214
graph_plus_literature,gpt_5_4_mini_igkf,115,5.0,0.0,4.965217391304348,0.2267402402243472,5.0,0.0,4.886956521739131,0.3690960363617727,5.0,0.0,4.808695652173913,0.47564641470638236,5.0,0.0,4.947826086956522,0.2915018058645144
graph_plus_literature,qwen3_8b_baseline,115,4.0,2.0,3.869565217391304,1.158657262270054,3.0,2.0,2.7043478260869565,1.1695996694286848,3.0,1.0,2.7304347826086954,0.9762238304818266,2.0,3.0,2.6869565217391305,1.4226563823719294
graph_plus_literature,qwen3_8b_igkf,115,5.0,1.0,4.6,0.6856933998490078,4.0,1.0,4.139130434782609,1.0419866022789144,4.0,1.0,3.9391304347826086,0.9937255482746072,5.0,1.0,4.147826086956521,1.2084750304882186
insufficient_evidence_likely,gpt_5_4_mini_baseline,4,3.5,1.25,3.75,0.9574271077563381,3.5,1.0,3.5,0.5773502691896257,3.5,1.25,3.25,0.9574271077563381,4.0,0.5,4.0,0.816496580927726
insufficient_evidence_likely,gpt_5_4_mini_igkf,4,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0
insufficient_evidence_likely,qwen3_8b_baseline,4,3.5,1.25,3.75,0.9574271077563381,3.5,1.25,3.75,0.9574271077563381,3.0,0.25,3.25,0.5,4.0,0.5,4.0,0.816496580927726
insufficient_evidence_likely,qwen3_8b_igkf,4,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.25,4.75,0.5,5.0,0.0,5.0,0.0
literature,gpt_5_4_mini_baseline,6,4.0,0.0,3.8333333333333335,0.983192080250175,2.5,1.75,2.8333333333333335,1.4719601443879746,3.0,0.75,2.6666666666666665,1.0327955589886446,3.0,1.5,3.5,1.224744871391589
literature,gpt_5_4_mini_igkf,6,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0
literature,qwen3_8b_baseline,6,4.0,0.75,3.6666666666666665,0.5163977794943222,2.5,1.75,2.3333333333333335,1.2110601416389968,2.0,0.75,2.3333333333333335,0.5163977794943222,3.0,1.5,2.8333333333333335,1.1690451944500122
literature,qwen3_8b_igkf,6,5.0,0.0,4.833333333333333,0.408248290463863,4.5,1.0,4.5,0.5477225575051661,4.5,1.0,4.5,0.5477225575051661,5.0,0.0,4.833333333333333,0.408248290463863
out_of_scope_or_insufficient,gpt_5_4_mini_baseline,17,4.0,2.0,3.9411764705882355,1.1440382552221602,4.0,1.0,4.235294117647059,0.8313702367707394,4.0,2.0,3.7058823529411766,1.212678125181665,5.0,0.0,4.705882352941177,0.5878675320972554
out_of_scope_or_insufficient,gpt_5_4_mini_igkf,17,5.0,0.0,4.882352941176471,0.3321055820775357,5.0,1.0,4.588235294117647,0.7122871199007256,5.0,0.0,4.882352941176471,0.3321055820775357,5.0,0.0,4.882352941176471,0.3321055820775357
out_of_scope_or_insufficient,qwen3_8b_baseline,17,5.0,1.0,4.411764705882353,0.9393364366277241,5.0,1.0,4.352941176470588,0.9314757424772421,4.0,1.0,4.0,1.118033988749895,5.0,1.0,4.529411764705882,0.8744746321952062
out_of_scope_or_insufficient,qwen3_8b_igkf,17,5.0,0.0,4.882352941176471,0.48507125007266594,4.0,1.0,4.352941176470588,0.7859052479933758,5.0,1.0,4.529411764705882,0.6242642728467979,5.0,1.0,4.647058823529412,0.6063390625908325
