expected_behavior,condition,N,median_answer_relevance,iqr_answer_relevance,mean_answer_relevance,sd_answer_relevance,median_biomedical_factual_correctness,iqr_biomedical_factual_correctness,mean_biomedical_factual_correctness,sd_biomedical_factual_correctness,median_completeness,iqr_completeness,mean_completeness,sd_completeness,median_uncertainty_abstention,iqr_uncertainty_abstention,mean_uncertainty_abstention,sd_uncertainty_abstention
abstain_or_qualify,gpt_5_4_mini_baseline,21,4.0,2.0,3.9047619047619047,1.091089451179962,4.0,2.0,4.095238095238095,0.8309489698388166,4.0,2.0,3.619047619047619,1.1608699529314417,5.0,1.0,4.571428571428571,0.6761234037828133
abstain_or_qualify,gpt_5_4_mini_igkf,21,5.0,0.0,4.904761904761905,0.30079260375911915,5.0,0.0,4.666666666666667,0.6582805886043833,5.0,0.0,4.904761904761905,0.30079260375911915,5.0,0.0,4.904761904761905,0.30079260375911915
abstain_or_qualify,qwen3_8b_baseline,21,5.0,1.0,4.285714285714286,0.956182887467515,5.0,1.0,4.238095238095238,0.9436504599035547,4.0,2.0,3.857142857142857,1.0623424252901834,5.0,1.0,4.428571428571429,0.8701395618766321
abstain_or_qualify,qwen3_8b_igkf,21,5.0,0.0,4.904761904761905,0.4364357804719847,5.0,1.0,4.476190476190476,0.749603069567329,5.0,1.0,4.571428571428571,0.5976143046671968,5.0,0.0,4.714285714285714,0.5606119105813882
answer,gpt_5_4_mini_baseline,57,4.0,3.0,3.456140350877193,1.1962765960410615,3.0,2.0,3.1228070175438596,1.3102640878654481,2.0,2.0,2.2982456140350878,1.2095588375327733,4.0,3.0,3.4210526315789473,1.511236112083802
answer,gpt_5_4_mini_igkf,57,5.0,0.0,4.964912280701754,0.26490647141300877,5.0,0.0,4.824561403508772,0.4277351908409095,5.0,0.0,4.807017543859649,0.4407216683718093,5.0,0.0,4.807017543859649,0.5489794587371082
answer,qwen3_8b_baseline,57,3.0,1.0,2.9473684210526314,0.8948474058180244,1.0,3.0,2.2982456140350878,1.60317667104923,2.0,1.0,2.017543859649123,1.0087337902782494,2.0,4.0,2.6842105263157894,1.6600117763872522
answer,qwen3_8b_igkf,57,5.0,0.0,4.666666666666667,0.786795792469443,5.0,1.0,4.421052631578948,0.9052893858763899,4.0,1.0,4.12280701754386,0.9649236727511606,5.0,1.0,4.4035087719298245,1.0326742177958403
answer_with_qualification,gpt_5_4_mini_baseline,127,4.0,2.0,4.0236220472440944,1.1301395259353992,3.0,2.0,3.062992125984252,1.2198622840308655,3.0,2.0,2.858267716535433,1.1664925682943783,3.0,2.5,3.0866141732283463,1.4530953390063468
answer_with_qualification,gpt_5_4_mini_igkf,127,5.0,0.0,4.960629921259843,0.2323644784463507,5.0,0.0,4.874015748031496,0.4362925693834787,5.0,0.0,4.803149606299213,0.5200636419958947,5.0,0.0,4.937007874015748,0.32727910267632265
answer_with_qualification,qwen3_8b_baseline,127,4.0,2.0,3.8503937007874014,1.1483510618403443,3.0,1.5,2.645669291338583,1.1854110468867918,3.0,1.0,2.677165354330709,0.9749390682122956,2.0,3.0,2.6692913385826773,1.397589296975196
answer_with_qualification,qwen3_8b_igkf,127,5.0,1.0,4.5984251968503935,0.6814997760505174,4.0,1.0,4.118110236220472,1.0587067075037522,4.0,1.0,3.9448818897637796,0.9944854824622362,5.0,1.0,4.15748031496063,1.1914057113569114
