question_id,condition,category,answerability,expected_behavior,manual_review_required,answer_relevance,biomedical_factual_correctness,completeness,uncertainty_abstention
Q001,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,4.0,1.0,2.0,2.0
Q001,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,4.0,4.0,3.0
Q001,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,3.0,2.0,1.0,4.0
Q001,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,3.0,4.0,2.0
Q002,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,2.0,3.0,1.0,2.0
Q002,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q002,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,3.0,1.0,1.0,2.0
Q002,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q003,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,2.0,1.0,2.0,2.0
Q003,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,3.0,2.0,3.0,1.0
Q003,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,4.0,4.0,3.0,5.0
Q003,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,4.0,3.0,3.0,2.0
Q004,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,2.0,4.0,2.0,5.0
Q004,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q004,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q004,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q005,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,2.0,1.0,1.0,1.0
Q005,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q005,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,4.0,1.0,1.0,2.0
Q005,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q006,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,2.0,1.0,1.0,1.0
Q006,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q006,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,2.0,2.0,1.0,2.0
Q006,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,4.0,4.0,3.0
Q007,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,3.0,4.0,2.0,5.0
Q007,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q007,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q007,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,3.0,4.0,3.0,5.0
Q008,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,3.0,1.0,2.0,2.0
Q008,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q008,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q008,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q009,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,3.0,1.0,2.0,2.0
Q009,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q009,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,4.0,5.0,4.0,5.0
Q009,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q010,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,3.0,1.0,2.0,1.0
Q010,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,4.0,5.0
Q010,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q010,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q011,qwen3_8b_baseline,variant_interpretation,graph_direct,answer,False,2.0,3.0,2.0,4.0
Q011,qwen3_8b_graph_only,variant_interpretation,graph_direct,answer,False,3.0,5.0,3.0,4.0
Q011,qwen3_8b_literature_only,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
Q011,qwen3_8b_igkf,variant_interpretation,graph_direct,answer,False,5.0,5.0,5.0,5.0
